id,brand_id,created_at,updated_at,Название,Гарантия,Управление,Комплектация,МАТЕРИАЛ,Изображения,Производитель,Модель
8006,0,,,G3803-3 Бумагодержатель,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G3803-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3803-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3803-3_2-1200x800.jpg,Frap,""
8007,0,,,G4398-12 Смеситель для кухни,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G4398-12-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G4398-12-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G4398-12_2-1200x800.jpg,Frap,""
8008,0,,,A97-4 хрустальная ручка,,,,,http://frap-frud.ru/image/cache/catalog/komplektuyushie/frap/A97-4-1200x800.jpg,Frap,""
8009,0,,,A97  хрустальная ручка ,,,,,http://frap-frud.ru/image/cache/catalog/komplektuyushie/frap/A97-1200x800.jpg,Frap,""
8010,0,,,G1903 Бумагодержатель,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G1903-1200x800.jpg,Frap,"
											
										"
8011,0,,,G3803-3 Бумагодержатель,,,,,http://frap-frud.ru/image/cache/catalog/new2020/G3803-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3803-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/new2020/G3803-3_2-1200x800.jpg,Frap,"
											
										"
8012,0,,,F1403 держатель для туалетной бумаги бронза,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1403-1200x800.jpg,Frap,"
											
										"
8013,0,,,F1503-1 держатель для туалетной бумаги с дезодорантом,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1503-1-1200x800.jpg,Frap,"
											
										"
8014,0,,,F1503-2 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1503-2-1200x800.jpg,Frap,"
											
										"
8015,0,,,F1503 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1503-1200x800.jpg,Frap,"
											
										"
8016,0,,,F1603-1 держатель для туалетной бумаги с дезодорантом,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-1-1200x800.jpg,Frap,"
											
										"
8017,0,,,F1603-2 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-2-1200x800.jpg,Frap,"
											
										"
8018,0,,,F1603-3 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-3-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-3-5-1200x800.jpg#http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-3-6-1200x800.jpg,Frap,"
											
										"
8019,0,,,F1603 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1603-1200x800.jpg,Frap,"
											
										"
8020,0,,,F1703-1 держатель для туалетной бумаги с дезодорантом,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1703-1-1200x800.jpg,Frap,"
											
										"
8021,0,,,F1703-2 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1703-2-1200x800.jpg,Frap,"
											
										"
8022,0,,,F1703-3 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1703-3-1200x800.jpg,Frap,"
											
										"
8023,0,,,F1703 держатель для туалетной бумаги ,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1703-1200x800.jpg,Frap,"
											
										"
8024,0,,,F1711 держатель для туал бумаги,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1711-1200x800.jpg,Frap,"
											
										"
8025,0,,,F1803-1 держатель для туалетной бумаги с дезодорантом хром/золото,,,,,http://frap-frud.ru/image/cache/catalog/aksessuari/bumagoderzhateli/frap/f1803-1-1200x800.jpg,Frap,"
											
										"
